number,value,params_pca_components,params_selector_threshold,params_train_eta,params_train_max_depth,params_use_feature_gen,params_use_pca,state
187,0.056034791601625375,15,0*mean,0.012151413999720225,7,False,False,COMPLETE
188,0.056035246516597845,15,0*mean,0.012420298302232641,7,False,False,COMPLETE
189,0.06163851203569699,15,0.75*mean,0.012898293616957972,8,False,False,COMPLETE
190,0.056201485857817216,20,0*mean,0.011450139279387738,4,False,False,COMPLETE
191,0.056036786879702295,15,0*mean,0.012471927466759432,7,False,False,COMPLETE
192,0.056034224081224215,15,0*mean,0.012129816754372259,7,False,False,COMPLETE
193,0.05603774133892657,15,0*mean,0.011263104239864536,7,False,False,COMPLETE
194,0.056036017183211884,15,0*mean,0.011668388926237653,7,False,False,COMPLETE
195,0.056038984918107416,15,0*mean,0.012648035392693161,7,False,False,COMPLETE
196,0.056035173669903474,10,0*mean,0.011031414490617744,7,False,False,COMPLETE
197,0.06163207686377509,10,mean,0.01216073603613741,7,False,False,COMPLETE
198,0.056034822674770036,10,0*mean,0.010001832764896437,7,False,False,COMPLETE
199,0.056114845905575715,10,0*mean,0.0689862016432509,7,False,False,COMPLETE
200,0.05603716665746281,10,0*mean,0.010030654958656852,7,False,False,COMPLETE
201,0.056093981333150335,15,0*mean,0.010878557605133376,6,False,False,COMPLETE
202,0.056035368961405374,10,0*mean,0.011420803515583762,7,False,False,COMPLETE
203,0.056036887714749496,10,0*mean,0.01102783818584004,7,False,False,COMPLETE
204,0.05603582974685367,10,0*mean,0.010003218497856816,7,False,False,COMPLETE
205,0.05603654769689146,10,0*mean,0.011278875340011787,7,False,False,COMPLETE
206,0.056038429524936983,10,0*mean,0.01295551761407102,7,False,False,COMPLETE
207,0.056035994423795234,10,0*mean,0.011867118598930573,7,False,False,COMPLETE
208,0.05603538814436141,10,0*mean,0.010987433169959326,7,False,False,COMPLETE
209,0.05604098334555123,10,0*mean,0.013183968830315088,7,False,False,COMPLETE
210,0.05606383171589204,10,0*mean,0.03558971090640464,7,False,False,COMPLETE
211,0.056035331183033665,10,0*mean,0.012087801924676981,7,False,False,COMPLETE
212,0.05645269040768819,10,0*mean,0.22897481520224774,7,False,False,COMPLETE
213,0.05603539452483493,10,0*mean,0.012168687128351889,7,False,False,COMPLETE
214,0.05603438705874776,10,0*mean,0.012168172278196561,7,False,False,COMPLETE
215,0.05603878263226701,10,0*mean,0.01202745653610654,7,False,False,COMPLETE
216,,10,0*mean,0.011505437921873083,7,False,False,FAIL
217,0.0560395442087948,10,0*mean,0.011580242830332462,7,False,False,COMPLETE
218,0.05603817331583746,10,0*mean,0.012375518879420575,7,False,False,COMPLETE
219,,10,0.5*mean,0.010944409562554866,7,True,False,RUNNING
220,0.056464353173617,10,0.5*mean,0.011309473543217947,11,True,False,COMPLETE
221,0.05603787668969177,10,0*mean,0.01227042604338162,7,False,False,COMPLETE
222,0.0560242997132569,10,0*mean,0.011165985939033264,8,False,False,COMPLETE
223,0.056033025213649036,10,0*mean,0.01084385259951031,8,False,False,COMPLETE
224,0.05602993113709609,10,0*mean,0.01098146714820657,8,False,False,COMPLETE
225,0.05603623217150473,10,0*mean,0.010012765565898814,7,False,False,COMPLETE
226,0.05603007255352131,10,0*mean,0.01125638734452253,8,False,False,COMPLETE
227,0.056032509131389074,10,0*mean,0.011515747323230205,8,False,False,COMPLETE
228,0.05603044377326449,10,0*mean,0.010636571039153535,8,False,False,COMPLETE
229,0.05603057502363655,10,0*mean,0.010631179444657895,8,False,False,COMPLETE
230,0.05602736376171338,10,0*mean,0.010619222408571537,8,False,False,COMPLETE
231,0.056244280566618454,10,0.25*mean,0.010769955542928004,8,False,False,COMPLETE
232,0.056024838030550805,10,0*mean,0.010615932888917191,8,False,False,COMPLETE
233,0.05602673975940353,10,0*mean,0.010020796912010044,8,False,False,COMPLETE
234,0.05602553268841276,10,0*mean,0.01007018818959843,8,False,False,COMPLETE
235,0.05602823664642489,10,0*mean,0.010073370027040134,8,False,False,COMPLETE
236,0.05602648327596762,10,0*mean,0.010195563607476444,8,False,False,COMPLETE
237,0.05602898210220973,10,0*mean,0.010459695293160928,8,False,False,COMPLETE
238,0.05602957455040406,10,0*mean,0.010090842580461532,8,False,False,COMPLETE
239,0.06163620295100018,10,0.75*mean,0.010013042206486088,8,False,False,COMPLETE
240,0.05602860788049979,10,0*mean,0.01001905935097431,8,False,False,COMPLETE
241,0.0560260612437556,10,0*mean,0.010253128268708021,8,False,False,COMPLETE
242,0.05602750459094576,10,0*mean,0.010092483458597387,8,False,False,COMPLETE
243,0.0560292382563092,10,0*mean,0.010019757265910773,8,False,False,COMPLETE
244,0.056026246029705365,10,0*mean,0.010018735846301962,8,False,False,COMPLETE
245,0.05602763222886379,10,0*mean,0.010004745031182346,8,False,False,COMPLETE
246,0.0560278918737133,10,0*mean,0.01006293287914125,8,False,False,COMPLETE
247,0.05603083742832775,10,0*mean,0.010142802870893579,8,False,False,COMPLETE
248,0.05602823370540784,10,0*mean,0.010274816796220566,8,False,False,COMPLETE
249,0.06163598063161946,10,mean,0.010180981731675483,8,False,False,COMPLETE
250,0.05602571050699591,10,0*mean,0.01004019011584042,8,False,False,COMPLETE
251,0.056026225991906944,10,0*mean,0.010017055534153307,8,False,False,COMPLETE
252,0.056025885771417726,10,0*mean,0.010029286607704753,8,False,False,COMPLETE
253,0.056027439412870764,10,0*mean,0.010120973820757112,8,False,False,COMPLETE
